M-00765505	2018-09-02	customer.1028648	778517
M-00765505	2018-09-02	customer.1028648	755783
M-00765505	2018-09-02	customer.1028648	774647
M-00765505	2018-09-02	customer.1028648	761708
M-00765505	2018-09-02	customer.1028648	774164
M-00765505	2018-09-02	customer.1028648	755426
M-00765505	2018-09-02	customer.1028648	755756
M-00765643	2018-09-02	customer.1039431	776714
M-00765643	2018-09-02	customer.1039431	757676
M-00765643	2018-09-02	customer.1039431	758705
M-00764906	2018-09-02	customer.1124347	763163
M-00765807	2018-09-02	customer.1164661	767066
M-00765807	2018-09-02	customer.1164661	776714
M-00765773	2018-09-02	customer.1052975	759968
M-00765773	2018-09-02	customer.1052975	756341
M-00765773	2018-09-02	customer.1052975	767066
M-00765773	2018-09-02	customer.1052975	776714
M-00765773	2018-09-02	customer.1052975	757676
M-00765773	2018-09-02	customer.1052975	758705
M-00765773	2018-09-02	customer.1052975	774167
M-00765773	2018-09-02	customer.1052975	754343
M-00765773	2018-09-02	customer.1052975	773117
M-00765773	2018-09-02	customer.1052975	755837
M-00765514	2018-09-02	customer.1116733	761507
M-00765514	2018-09-02	customer.1116733	777485
M-00765514	2018-09-02	customer.1116733	775520
M-00765514	2018-09-02	customer.1116733	765584
M-00765514	2018-09-02	customer.1116733	772967
M-00765514	2018-09-02	customer.1116733	768125
M-00765514	2018-09-02	customer.1116733	762989
M-00765514	2018-09-02	customer.1116733	567309
M-00765514	2018-09-02	customer.1116733	763334
M-00765514	2018-09-02	customer.1116733	776222
M-00765514	2018-09-02	customer.1116733	754655
M-00765514	2018-09-02	customer.1116733	755246
M-00765514	2018-09-02	customer.1116733	772226
M-00766154	2018-09-03	customer.1151264	759557
M-00766154	2018-09-03	customer.1151264	765779
M-00766154	2018-09-03	customer.1151264	766331
M-00765954	2018-09-03	customer.1026139	769886
M-00765954	2018-09-03	customer.1026139	760091
M-00765954	2018-09-03	customer.1026139	772457
M-00765954	2018-09-03	customer.1026139	754229
M-00765954	2018-09-03	customer.1026139	756653
M-00765954	2018-09-03	customer.1026139	762362
M-00766985	2018-09-05	customer.1056310	769460
M-00766985	2018-09-05	customer.1056310	759287
M-00766985	2018-09-05	customer.1056310	756047
M-00766985	2018-09-05	customer.1056310	777308
M-00766985	2018-09-05	customer.1056310	761315
M-00766985	2018-09-05	customer.1056310	776255
